Unnamed: 0,คลอง,กม.,Unnamed: 3,ระยะ,Qr,Qmax (จากแผนรอบเวรส่งน้ำ),Qd,A,V,Experiment,R,n,s,B,D,t,HC,HL,HR,Bm,TL,TR,RL,RR,หมายเหตุ,Unnamed: 26,คลอง.1,กม..1,Unnamed: 29,ระยะ.1,พื้นที่,ปริมาตรน้ำ,ปริมาตรน้ำสะสม,พื้นที่กันเขต
,,เริ่ม,สิ้นสุด,ม.,ม.3/วินาที,ม.3/วินาที,ม.3/วินาที,ม.2,ม./วินาที,ม./วินาที,ม.,,,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,,,,เริ่ม,สิ้นสุด,(ม.),(ตร.ม.),(ลบ.ม.),(ลบ.ม.),(ตร.ม.)
,,4+800,5+800,1000,0.188,0.205,0.981,0.729,1.345,,0.294,0.018,0.003,0.5,0.55,0.06,0.65,0.95,0.95,0,2,5,15,15,คลองดาดคอนกรีต,,,4+800,5+800,1000,0.7287500000000001,728.7500000000001,7700.675,30000
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,5800,,7700.675,,174000
,5R-4L-38R-LMC,0+000,1+400,1400,0.191,0.205,0.206,0.625,0.329,,0.271,0.018,0.0002,0.5,0.5,0.06,0.65,0.9,0.9,0,2,5,15,15,คลองคาดคอนกรีต,,5R-4L-38R-LMC,0+000,1+400,1400,0.625,875,875,42000
,,1+400,1+540,140,-,0.159,0.478,0.625,0.765,,0.271,0.03,0.003,0.5,0.5,0,0,0,0,0,0,0,15,15,คลองดิน,,,1+400,1+540,140,0.625,87.5,962.5,4200
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,1540,,962.5,,46200
, 6R-38R-LMC,0+000,1+100,1100,0.371,0.431,0.431,1.089,0.396,,0.358,0.018,0.0002,0.7,0.65,0.06,0.8,1.05,1.05,0,5,2,15,15,คลองดาดคอนกรีต,, 6R-38R-LMC,0+000,1+100,1100,1.08875,1197.6250000000002,1197.6250000000002,33000
,,1+100,2+250,1150,0.186,0.205,0.206,0.625,0.329,,0.271,0.018,0.0002,0.5,0.5,0.06,0.65,0.9,0.9,0,5,2,15,15,คลองดาดคอนกรีต,,,1+100,2+250,1150,0.625,718.75,1916.3750000000002,34500
,,2+250,2+550,300,-,0.159,0.151,0.625,0.242,,0.271,0.03,0.0003,0.5,0.5,0,0,0,0,0,0,0,15,15,คลองดิน,,,2+250,2+550,300,0.625,187.5,2103.875,9000
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,2550,,2103.875,,76500
,8R-38R-LMC,0+000,1+000,1000,0.426,0.431,0.431,1.089,0.396,,0.358,0.018,0.0002,0.7,0.65,0.06,0.8,1.05,1.05,0,5,2,15,15,คลองดาดคอนกรีต,,8R-38R-LMC,0+000,1+000,1000,1.08875,1088.75,1088.75,30000
,,1+000,2+500,1500,0.312,0.334,0.335,0.9,0.372,,0.326,0.018,0.0002,0.6,0.6,0.06,0.75,1,1,0,5,2,15,15,คลองดาดคอนกรีต,,,1+000,2+500,1500,0.8999999999999999,1349.9999999999998,2438.75,45000
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,2500,,2438.75,,75000
,RMC,0+000,2+420,2420,1.37,,1.375,2.6,0.529,0.36,0.553,0.018,0.0002,1.1,1,0.06,1.2,1.5,1.5,1,5,2,20,15,,,RMC,0+000,2+420,2420,2.6,6292,6292,84700
,,2+420,2+600,180,1.212,,1.235,2.399,0.515,0.7,0.53,0.018,0.0002,1.1,0.95,0.06,1.15,1.45,1.45,1,5,5,20,15,,,,2+420,2+600,180,2.3987499999999997,431.775,6723.775,6300
,,2+600,3+500,900,1.201,,1.235,2.399,0.515,,0.53,0.018,0.0002,1.1,0.95,0.06,1.15,1.45,1.45,1,5,5,20,15,,,,2+600,3+500,900,2.3987499999999997,2158.8749999999995,8882.65,31500
